BSN,NAME,PLZ,Berliner Adresse,Telefonnummer,Fax,eMail-Adresse,Internetadresse,Traeger,Bezirk,Schultyp,latitude,longitude,full_time_school,Aerobic,Afrikanisch Trommeln,Aikido,Akkordeon,Akrobatik,Altgriechisch,Aquarellmalerei,Aquarianer,Arabisch,Archäologie,Artistik,Arts & Crafts,Astronomie,Astrophysik,Atelier,Ausdauerlauf,Ausflüge,Autobiographische Geschichten,Backen,Badminton,Ballett,Ballspiele,Ballsport,Ballsport und Badminton,Band,Basketball,Basteln,Basteln mit Leder,Bauchtanz,Beratung in Ausbildungsfragen,Bewegung,Bewegung und Musik,Bewegungsspiele,Bibliothek,Big Band,Bigband,Bildbearbeitung,Bildende Kunst,Bildhauerei,Billard,Biologie,Blasorchester,Blechbläser,Blockflöte,Blockflötenensemble,Blockföte,Blumenbinden,Blumenstecken,Bläser,Bläser-AG,Bläserensemble,Bläsergruppe,Bläserklasse,Bogenschießen,Bogensport,Boxen,Brandschutz,Break-Dance,Breakdance,Brettspiele,Brötchen backen,Buchbinden,Buchillustrationen,Buchwerkstatt,Buddy-Projekt,Bücher,Büchercafé,Bücherei,Bühnentechnik,Cafeteria,Cambridge Proficiency,Cambridge Test,Capoeira,Cello,Chanson,Chemie,Chemie-Kids,Chinesisch,Chor,Cine Español,Combo,Comedy,Comic zeichnen,Computer,Computer und Internet,Computer-Präsentationen,Computerkurs,Computerkurse,Computerspiele,Computertechnik,DELF,DELF-Diplom,Dance for Kids,Darstellendes Spiel,Dart,Debating-Club,Debattierclub,Debattieren,Debattierklub,Design,Deutsch,Diabolo,Digitale Animation,Digitale Fotografie,Drachenboot,Drucken,Drucktechniken,Druckwerkstatt,Einrad,Einradfahren,Eishockey,Elektronik,Elektronische Musik,Eltern-Lehrer-Chor,Embossing,Encaustic,Energie,Energieeinsparung,Englisch,Englisch-Theater,Englische Kinderliteratur,English,English Literature,Ensemble,Entspannung,Entspannung im Wasser,Erinnerungskultur,Erkunden anderer Länder,Ernährung,Ersthelfer,Event-AG,Events,Experimente,Fahrrad,Fahrradreparaturen,Fahrradwerkstatt,Farbtanz,Fechten,Federball,Film,Film und Fotografie,Film-Musik,Filmabende,Filmclub,Filmschnitt,Filzen,Fitness,Fliesengestaltung,Floristik,Flöte,Flöten,Forschung,Foto,Foto und Film,Fotografie,Frankreich,Französisch,Französisch Kochen,Freilandbiologie,Frisbee,Frisur und Kosmetik,Fußball,Fußball oder Kraftsport,Fußball und Spiele,Gardening,Garten,Gartenarbeit,Gartenbau,Geologie,Geräteturnen,Gesang,Geschichte,Geschichten schreiben,Geschichten und Lieder,Geschichtswerkstatt,Gesellschaftsspiele,Gestalten,Gestaltung,Gesunde Ernährung,Gitarre,Gitarren-AG,Gitarren-Ensemble,Gitarrenunterricht,Gleitschirmfliegen,Golf,Graffiti,Griechisch,Griechisches Theater,Gymnastik,HTML,Handarbeit,Handarbeiten,Handball,Handwerk,Handwerken,Hardware,Hausaufgaben,Hausaufgabenbetreuung,Hausmusik,Hebräisch,Heilpädagogisches Malen,HipHop,Hochbegabtenförderung,Hockey,Holzarbeiten,Holzbearbeitung,Holzbläser-Ensemble,Holzwerkstatt,Homepage,Honig,Horn-AG,Hunde,Hörspiel,Hörspiele,IT,Imkerei,Improvisationen,Informatik,Informationstechnik,Inline Skating,Inlineskate-Hockey,Inlineskaten,Instrumental,Instrumental-AG,Instrumentalkreis,Instrumentalunterricht,Instrumente,Instrumentenfindung,Internet,Italienisch,Italinenisch,Jahrbuch,Japanisch,Jazz,Jazz Band,Jazz Dance,Jazzband,Jonglieren,Judo,Jugend forscht,Jugendliteratur,Juggersport,Junge Historiker,Jungen-AG,Jungenclub,Jungengruppe,Kampfsport,Kaninchen und Nager,Kanu,Karaoke,Karate,Karinette,Keramik,Keyboard,Kinder in anderen Ländern,Kinder-Mutmach-Gruppe,Kinderatelier,Kino,Klarinetten-AG,Klavier,Klettern,Klima,Knobelkiste,Knobeln,Kochen,Kochen und Backen,Kochkurse,Konfliktlotse,Konfliktlotsen,Konsum-Global,Kreativ-AG,Kreativkurse,Kräuterhexe,Kung Fu,Kunst,Kunst Experten,Kunst und Fremdsprachen,Kunst-Werkstatt,Kunstbau,Kurzfilm,LEGO-Mindstorms,Lacrosse,Latein,Laufen,Lebenskunde,Lecturas,Lego,Lego City,Lego-League,Leichtathletik,Lernwerkstatt,Lese Experten,Leseclub,Lesen,Leseprofis,Leseratten,Liftband,Line Dance,Linedance,Literatur,Literaturwerkstatt,Lyrikkreis,Malen,Malen und Zeichnen,Malerei,Malkurse,Manga,Maskenbau,Mathe,Mathe Plus,Mathematik,Mathematik-Literatur,Mathematikwettbewerb Ideefix,Mediation,Mediatoren,Medien,Medien und Kommunikation,Medien- und Bildgestaltung,Medienecken,Mediengestaltung,Meditation,Metall,Metrische Räume und Anwendungen,Mini-Marathon,Mode,Mode und Design,Modedesign,Model United Nations,Modellbau,Modellbau und Basteln,Modellieren,Modern Dance,Moderne Spiele,Mofa,Mofa-Fahren mit Verstand,Mofa-Kurs,Mofakurs,Multimedia,Musical,Musik,Musiktheater,Musizieren,Mädchen-AG,Mädchenclub,Mädchengruppe,Märchen,Märchenprojekte,Mäusepflege,NAWI-Experimente,Nachhilfe,Nadel und Faden,Natur,Natur und Technik,Naturforscher,Naturkunde,Naturschutz-Jugend,Naturwissenschaft,Naturwissenschaften,Netzwerke,Neugriechisch,Norwegisch,Nähen,Oboe,Online-Werkstatt,Orchester,Orgel,Orientalischer Tanz,PC,PC-comp@ss,Pantomime,Papier,Papier- und Buchwerkstatt,Percussion,Perlenarbeiten,Pflanzenkunde,Philosophie,Physik,Physik Fachhelfer,Physik und Computer,Physik und Jugend forscht,Plastisches Gestalten,Podcast,Politik,Politische Bildung,Polnisch,Popband & Jazz-Combo,Popchor,Praktikumsvorbereitung,Psychologie,Puppenspiel,Puppentheater,Querflöten-AG,Querflötenensemble,Radfahren,Radio,Rap,Reise zur Stille,Reiten,Religion,Religion und Philosophie,Rhythmik,Rhythmus,Ringen,Roberta,Roberta (Roboterprojekt),Robocup,Roboter,Robotics,Robotik,Rockband,Rollstuhlsport,Rudern,Rugby,Russisch,Safer Skating,Sambaensemble,Saxofon,Saxophon,Schach,Schauspiel,Schlagzeug,Schlaue Algorithmen für knifflige Probleme,Schlaufuchs,Schmuck,Schmökerstunde,Schreibwerkstatt,Schulband,Schulcafé,Schuldruckerei,Schule ohne Rassismus - Schule mit Courage,Schule ohne Rassismus- Schule mit Courage,Schulgarten,Schulgeschichte,Schulhausgestaltung,Schulhof-AG,Schulhofgestaltung,Schulhomepage,Schulradio,Schulsanitäter,Schulsanitätsdienst,Schulteich,Schwimmen,Schülerbücherei,Schülerclub,Schülerfirma,Schülerradio,Schülerzeitung,Segelflug,Segeln,Seidenmalerei,Selbstverteidigung,Server- und Webprogrammierung,Siebdruck,Singen,Singen-Tanzen-Spielen,Singespatzen,Skat,Skateboard,Skaten,Skating,Skifahrten,Skilanglauf,Solarboote,Solarenergie,Sozial-AG,Spanisch,Spiel- und Bewegungslieder,Spiele,Spiele und Bewegung,Spielschwimmen,Sport,Sport und Spiel,Sportangebote,Sportspiele,Spotspiele,Sprachen,Sprachförderung,Sprachkundigenprüfung,Stadtsafari,Steelband,Sternstunden,Sticken,Streetdance,Streicher,Streicher-AG,Streicher-Ensemble,Streichinstrumente,Streitschlichter,Stressworkout,Taekwondo,Tai Chi Kineo,Tanz,Tanzen,Tanztheater,Tanztherapie,Tastaturlehrgang,Tauchen,Technik,Tennis,Teppichknüpfen,Textil,Textiles Gestalten,Textilwerkstatt,Theater,Theater und Zirkus,Theatergruppe,Theaterspiel und Kulissenbau,Theatertechnik,Tiere,Tierpflege,Tischtennis,Tonstudio,Tontechnik,Training für die Physikolympiade,Trampolin,Triathlon,Trickfilm,Trommeln,Turnen,Turnen und Tanz,Töpfern,Türkisch,UNESCO,Umwelt,Umweltdetektive,Ungarisch,Veranstaltungsorganisation,Veranstaltungstechnik,Verkehrsgarten,Video,Videoschnitt,Violinenunterricht,Volleyball,Vorbereitung Cambridge-Sprachdiplom,Vorbereitung DELF-Sprachdiplom,Vorbereitung auf den MSA,Vororchester,Walderkundung,Waldküche,Wandmalerei,Waveboard,Website,Werken,Werkstatt,Windsurfen,Wirtschaft,Wissenschaft,Wortspiele,Writing,Yoga,Zauberei,Zaubern,Zeitung,Zirkus,Zirkuskünste,Zirkusprojekte,Zoo,Zweifelderball,japanisch,kreatives Gestalten,kreatives Schreiben,künstlerisches Gestalten
01A04,Berlin-Kolleg,10551,Turmstr. 75,901838210,901838222,sekretariat@berlin-kolleg.de,http://www.berlin-kolleg.de,öffentlich,Mitte,Andere Schule,52.5264124,13.33385575403724,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01B01,"OSZ Banken, Immobilien und Versicherungen",10557,Alt-Moabit 10,398840,39884119,mail@osz-biv.de,http://www.osz-biv.de,öffentlich,Mitte,Berufliche Schule,52.52427045,13.358816760900753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01B02,Staatliche Technikerschule Berlin,10555,Bochumer Str. 8 B,3900060,39000682,info@technikerschule-berlin.de,http://www.technikerschule-berlin.de,öffentlich,Mitte,Berufliche Schule,52.52266410000001,13.3380878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01B03,"OSZ Kommunikations-, Informations- und Medientechnik",13359,Osloer Str. 23-26,493070,49307100,verwaltung@oszkim.de,http://www.oszkim.de,öffentlich,Mitte,Berufliche Schule,52.5571828,13.379806669119944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01B04,OSZ Gesundheit I,13349,Schwyzer Str. 6-8,4530800,45308077,sekretariat@osz-gesundheit.de,http://www.osz-gesundheit.de,öffentlich,Mitte,Berufliche Schule,52.5582581,13.354893233730051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01B05,Staatliche Wirtschaftsfachschule für Hotellerie und Gastronomie Berlin,10117,Niederwallstr. 6-7,20613130,20613131,info@hotelfachschule-berlin.de,http://www.hotelfachschule-berlin.de,öffentlich,Mitte,Berufliche Schule,52.51266410000001,13.3982867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,ETI Schauspielschule Berlin,10179,Rungestr. 20,27593109,27593110,mail@eti-berlin.de,http://www.eti-berlin.de,öffentlich,Mitte,Ergänzungsschule,52.5129735,13.4201313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000000,Games Academy,10179,Rungestr. 20,29779120,29779150,info@games-academy.de,http://games-academy.de,öffentlich,Mitte,Ergänzungsschule,52.5129735,13.4201313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000000000,SiliconStudioAcademy Berlin,13347,Groninger Str. 25 (Gewerbehöfe),45601331,45601333,info@siliconstudio.de,http://www.siliconstudio.de,öffentlich,Mitte,Ergänzungsschule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000000000000,SSI am Alex Institut für Tourismus und Marketing,10178,Panoramastr. 1,28045379,28045381,ssiamalex@aol.com,http://www.ssi-berlin.de,öffentlich,Mitte,Ergänzungsschule,52.521644200000004,13.409421100000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
